"1";"1";"1"
"2";"1";"2"
"3";"1";"3"
"4";"1";"4"
"5";"1";"5"
"6";"1";"6"
"7";"1";"7"
"8";"1";"8
"9";"1";"9"
"10";"1";"10"
"11";"1";"11"
"12";"1";"12"
"13";"1";"13"
"14";"1";"14"
"15";"1";"15"
"16";"1";"16"
"17";"1";"17"
"18";"1";"18"
"19";"1";"19"
"20";"1";"20"
"21";"1";"21"
"22";"1";"22"
"23";"1";"23"
"24";"1";"24"
"25";"1";"25"
"26";"1";"26"
"27";"1";"27"
"28";"2";"1"
"29";"2";"2"
"30";"2";"3"
"31";"2";"4"
"32";"2";"5"
"33";"2";"6"
"34";"2";"7"
"35";"2";"8"
"36";"2";"9"
"37";"2";"10"
"38";"2";"11"
"39";"2";"12"
"40";"2";"13"
"41";"2";"14"
"42";"2";"15"
"43";"2";"16"
"44";"2";"17"
"45";"2";"18"
"46";"2";"20"
"47";"2";"21"
"48";"2";"22"
"49";"2";"23"
"50";"2";"24"
"51";"2";"25"
"52";"2";"26"
"53";"2";"27"
"54";"2";"28"
"55";"2";"29"
"56";"2";"30"
"57";"2";"31"
"58";"3";"1"
"59";"3";"2"
"60";"3";"3"
"61";"3";"4"
"62";"3";"5"
"63";"3";"6"
"64";"3";"7"
"65";"3";"9"
"66";"3";"11"
"67";"3";"12"
"68";"3";"13"
"69";"3";"14"
"70";"3";"15"
"71";"3";"16"
"72";"3";"17"
"9";"3";"8"
"48";"3";"10"
"12";"2";"19"

